Ref.No,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,Y
8325,100000,2,2,1,40,-1,-1,0,0,0,-1,10228,50764,52520,24550,0
18603,400000,2,2,1,24,0,0,0,0,0,0,187790,176294,190256,89128,0
4809,190000,1,1,2,27,1,-1,0,0,0,0,-4370,82387,83701,85035,0
15384,20000,2,3,1,45,2,2,3,2,2,0,21646,24390,23719,23936,1
229,50000,1,2,2,23,2,0,0,0,0,0,49758,48456,44116,21247,1
18318,40000,2,2,1,25,0,0,0,0,0,2,40633,40633,40311,39380,1
23090,220000,2,2,1,38,2,0,0,0,0,0,166513,163731,167204,169009,0
19670,180000,2,2,1,41,0,0,0,0,0,0,9309,7596,9086,11477,0
23113,70000,2,2,2,30,0,0,2,0,0,0,10705,58825,53080,49153,0
16753,140000,1,2,1,49,0,0,0,0,0,0,35815,36800,37344,37933,0
5299,200000,2,2,1,29,0,0,0,0,0,0,61518,66541,53862,37056,0
15676,80000,1,2,2,24,1,-2,-2,-1,2,2,-1461,-1461,-1458,16950,1
6899,130000,2,3,2,39,0,0,0,2,0,0,133825,134495,133745,130814,0
8122,130000,1,1,2,28,0,0,0,0,0,-2,92174,93991,54735,31682,0
13377,30000,2,2,1,29,0,0,0,0,0,0,15455,6570,11000,12460,0
5756,30000,2,3,1,29,1,2,2,2,2,2,13164,12668,15038,14502,0
6989,50000,1,3,1,51,1,2,0,0,0,0,48091,47028,46672,28478,1
15684,20000,1,3,2,28,1,2,0,0,0,2,18953,14043,13266,14340,0
2621,50000,2,2,2,44,0,0,0,0,-1,-1,49006,49139,47608,3990,0
11683,120000,2,2,2,23,0,0,0,0,0,0,38609,41992,36607,38828,0
9756,140000,1,1,1,31,2,0,0,2,2,2,51028,52112,55232,55932,0
7111,310000,1,2,2,27,-2,-2,-2,-2,-2,-1,68928,43431,61756,88416,0
23329,160000,2,1,2,35,-1,-1,-1,-1,-1,-1,19082,2815,27380,10028,0
3388,500000,1,1,1,37,-1,-1,-1,-1,-1,-1,1961,1188,-150,150,0
2469,220000,1,1,2,31,0,0,0,0,0,0,163148,158197,158956,157953,0
1461,50000,2,2,1,37,2,2,3,3,3,3,1050,1050,1050,1050,1
19539,180000,2,1,2,30,0,0,0,0,0,0,44478,40311,43847,50763,0
9440,230000,2,2,1,44,-1,-1,-1,-1,-1,-1,5630,390,5090,19394,1
17750,10000,2,3,1,52,-1,2,2,2,2,2,2465,3475,4366,4148,0
15950,120000,2,2,2,28,0,0,0,0,0,0,67087,66665,67525,67091,0
14780,30000,2,1,2,25,0,0,0,0,0,-2,25115,26287,26602,21000,1
1302,10000,2,3,2,22,0,0,2,0,0,0,10012,9784,9473,8947,1
7820,50000,1,2,2,28,0,0,0,0,0,0,49417,48104,49348,28433,0
22866,80000,2,3,1,43,-1,-1,-1,-1,0,0,1520,23190,0,19465,0
18518,30000,2,2,2,25,-2,-2,-1,0,0,0,0,1232,27287,27874,0
12973,30000,2,2,1,27,2,2,2,2,0,0,19193,20084,20460,19836,1
5947,70000,2,2,2,24,0,-1,0,0,0,-1,7033,1602,28199,28980,1
5764,20000,1,2,1,35,0,0,0,0,0,-1,17584,19819,11280,3680,0
14385,140000,2,3,1,25,-2,-2,-2,-2,-2,-2,76910,22972,28336,30281,0
14784,320000,2,2,2,36,-2,-2,-2,-2,-2,-2,29862,33785,4900,15813,1
18891,200000,2,1,2,28,1,2,0,0,0,0,205683,196807,191752,178560,1
21688,150000,2,2,2,24,1,-2,-2,-2,-1,-1,0,0,0,0,0
20004,400000,2,1,1,37,-1,0,-1,0,0,0,10677,31405,26717,25434,0
7761,80000,1,3,1,38,-1,-1,2,0,-1,2,6270,14412,12540,1261,1
12442,460000,1,1,2,34,0,0,0,0,0,0,362816,372284,380257,386847,0
22715,300000,2,1,1,41,-1,-1,-1,-1,-1,-2,66132,6917,3050,1760,0
18130,270000,1,2,1,40,0,0,0,0,0,0,42598,44610,46666,48685,1
6709,30000,2,2,2,24,2,2,2,0,0,0,26133,28926,28167,28568,0
13906,150000,2,1,2,32,-1,-1,0,0,0,-1,1663,14045,13155,15183,0
1132,200000,2,2,2,34,1,-1,-1,-1,-1,-1,0,3346,0,465,0
1956,10000,1,2,2,41,1,2,2,2,2,2,8722,9592,9289,10140,0
4992,410000,2,2,1,50,0,0,0,0,0,0,246659,248934,246011,240845,0
15002,80000,2,1,2,24,-1,0,0,0,0,0,75356,78236,77700,58025,0
12986,150000,1,1,2,36,0,0,0,0,0,0,95716,96181,99933,102278,0
14351,30000,2,2,2,22,0,0,0,0,0,0,27849,29094,29352,29766,0
15485,180000,1,1,1,36,1,-2,-2,-2,-2,-2,0,0,0,0,0
6285,150000,2,1,2,32,0,0,0,0,0,0,30697,40139,49410,58549,0
21174,430000,1,3,2,47,1,-1,-1,-1,-1,-1,-18,6390,8833,9906,0
9841,230000,2,2,2,23,-1,-1,2,2,-2,-1,1050,2203,2005,0,1
2106,20000,1,1,2,23,-1,2,2,2,2,2,15383,16142,15586,17322,1
5958,100000,2,2,2,25,0,0,0,0,0,0,98349,97473,91096,76371,0
9909,360000,2,2,1,35,1,-2,-2,-1,-1,-1,0,0,0,3602,0
2513,340000,1,1,1,34,-1,-1,-1,-1,2,0,332,332,332,142202,1
16718,30000,1,2,1,36,-1,2,-1,-1,-1,-1,1226,390,390,390,1
15130,150000,1,2,2,52,-2,-2,-2,-1,0,0,4966,-1390,-4661,129847,0
23204,440000,2,2,1,44,0,0,0,-2,-2,-2,70548,42651,0,27549,0
8076,100000,2,3,2,46,1,-1,2,2,-1,0,0,203,203,0,0
20459,80000,1,1,2,25,-1,-1,2,-1,-1,-1,825,1650,825,825,0
10205,120000,2,2,2,48,0,0,0,0,0,2,72528,74047,75564,77242,0
1069,200000,1,1,2,40,-1,-1,-1,-1,-1,-1,2159,760,2775,22813,0
15535,200000,1,2,2,35,0,0,0,0,0,0,27784,33877,35420,26609,0
8781,100000,1,1,2,30,2,0,0,0,0,0,53718,55851,56424,57584,0
5485,100000,2,3,2,29,-2,-2,-2,-1,-1,-1,2038,11383,1661,1891,0
21999,190000,2,2,2,27,0,0,0,0,0,0,97136,98767,101452,103471,0
21827,260000,2,1,2,26,0,0,0,0,0,0,145165,149173,142730,148307,0
7604,90000,2,1,2,30,0,0,2,0,0,0,19003,21876,21231,22071,0
7277,20000,2,3,1,28,1,2,2,0,0,-1,18710,19132,18409,14301,0
22054,50000,2,3,2,29,0,0,0,0,-1,0,50148,50761,35777,7464,0
637,50000,2,3,1,49,0,0,0,0,0,0,5630,6629,5918,6918,0
6663,380000,1,1,1,39,-1,-1,-2,-1,-1,-2,6347,0,0,46350,1
4454,50000,1,3,1,45,-1,-1,-2,-2,-2,-2,1189,0,0,0,0
13402,420000,2,3,2,27,-2,-2,-1,0,0,0,1486,-3341,116659,119808,1
14000,280000,2,2,1,27,-2,-2,-2,-2,-2,-2,747,0,5737,922,0
18501,120000,2,1,2,26,0,0,0,0,0,0,80975,82069,83808,85414,0
22602,260000,2,2,2,36,-1,-1,-1,-1,-1,-1,17631,13184,1700,5190,0
14506,30000,2,2,1,49,2,0,0,0,2,2,23778,24507,25892,27366,0
9809,230000,2,1,2,32,-1,0,-1,-1,-1,-1,441,28641,713,1344,0
13570,50000,1,3,1,55,2,2,2,0,0,0,19056,18586,17418,15004,0
18486,130000,2,2,2,26,0,0,0,2,2,2,131336,123443,132517,133747,0
17035,10000,2,2,1,24,0,0,0,0,0,0,6902,7922,8939,9533,1
6500,140000,2,2,2,26,0,0,0,0,2,0,141057,144306,141949,141345,0
11367,180000,1,1,2,27,0,0,0,0,0,0,94450,96632,99127,100581,0
22936,290000,2,2,2,30,-2,-2,-2,-2,-2,-2,4603,2698,6401,1864,0
8091,410000,2,1,1,38,2,2,2,0,0,0,180922,184241,176857,175193,1
1726,330000,2,1,2,26,0,0,0,0,0,0,58667,38323,32726,43579,0
2858,200000,2,2,1,41,0,0,0,0,0,0,42292,43764,44030,48466,0
7055,50000,2,1,2,24,0,0,0,0,0,0,49982,49650,48321,30281,0
197,150000,2,2,1,34,-2,-2,-2,-2,-2,-2,0,0,0,116,0
19138,380000,2,3,1,35,0,0,0,0,0,0,18341,16681,16678,16650,0
8308,130000,1,2,2,27,0,0,0,0,0,0,81603,84249,85424,82632,1
9587,120000,1,1,2,29,0,0,0,0,0,0,118303,98232,150952,77639,1
10782,50000,2,3,2,40,0,0,0,0,0,0,29311,30862,26614,15571,0
12136,340000,2,2,2,25,1,-2,-2,-1,-1,-1,0,0,0,1888,0
15068,360000,1,2,1,34,-1,-1,-1,-1,-1,-1,5375,0,7799,8506,0
5086,50000,1,2,1,43,0,0,0,0,0,0,15941,14154,15109,14125,1
968,220000,2,1,1,36,-1,-1,0,-1,-1,-1,996,4102,4111,1057,0
16903,20000,1,3,2,46,0,0,0,0,0,0,9784,11195,12542,13619,0
14772,20000,1,2,1,37,0,0,0,0,-1,-1,6372,2818,3734,3826,0
3577,500000,2,1,2,37,-1,-1,-1,-1,0,0,4168,19169,22893,52002,0
15123,200000,1,1,1,52,-1,-1,-1,-1,-1,-1,2343,3943,1443,1443,0
15015,410000,1,2,2,39,0,0,0,0,0,0,335938,328323,321091,274957,0
17427,30000,2,2,2,39,0,0,0,2,0,0,28144,27470,30698,28981,0
8195,50000,1,2,2,35,0,0,0,0,0,0,48064,49399,49943,18568,0
12667,400000,2,2,1,39,-2,-2,-2,-2,-1,-1,91170,55588,14037,20356,0
9011,270000,1,1,1,41,-1,-1,-1,-1,-1,-1,316,316,316,571,0
13145,80000,2,2,1,49,-1,2,-1,-1,-1,0,2222,390,390,390,1
9542,160000,2,2,2,25,-1,-1,-1,0,-1,-1,227,0,354,355,0
20637,100000,1,3,2,30,0,0,0,0,0,0,92218,78066,77240,87919,0
16154,120000,2,2,2,29,0,0,0,2,-1,0,9102,10626,15003,9270,0
4086,150000,2,1,1,54,0,0,0,0,0,0,152059,150510,152228,141778,0
23832,500000,2,1,1,52,-2,-2,-2,-2,-2,-2,9534,9164,9285,20348,0
7941,50000,1,3,0,50,0,0,0,0,0,0,9404,10745,12058,13256,0
17884,10000,1,3,2,23,0,0,0,0,0,0,5807,6974,7838,9002,0
23315,270000,2,1,2,33,0,0,0,0,0,0,68589,58751,53401,51401,0
1844,20000,1,1,2,41,-2,-2,0,0,0,0,18803,18376,19342,19081,1
17523,120000,2,3,1,44,0,0,0,0,0,0,16735,18150,19528,19065,0
8703,220000,1,2,1,34,0,0,0,0,0,0,144544,137465,134420,132066,0
8009,20000,2,1,2,25,-1,-1,-1,-1,-1,-2,2650,0,855,640,0
5497,290000,2,3,1,48,-1,0,0,-1,-1,-1,284990,274764,225000,16635,0
11310,290000,2,2,2,41,-1,-1,-1,-1,-1,-1,6959,6891,980,4059,0
16138,50000,2,3,1,36,-2,2,2,0,0,0,51741,96172,48827,38600,1
15976,60000,2,3,1,35,1,2,0,0,2,0,10722,10254,15043,19738,1
18770,80000,2,2,1,26,0,0,0,0,-1,0,26158,27041,27797,5958,0
4787,100000,2,2,2,56,0,0,2,0,0,0,97549,102864,98969,70352,1
19788,180000,2,1,2,38,-2,-2,-2,-2,-2,-2,0,0,0,0,0
16097,80000,2,2,2,45,1,-1,-1,-2,-2,-2,-1600,82150,0,0,0
14540,320000,2,2,2,28,1,-2,-1,-1,0,-1,0,0,2428,990,0
15782,130000,2,2,2,24,0,0,0,0,-1,-1,12163,21895,18885,19057,0
2340,240000,1,2,1,36,0,0,0,0,0,0,10767,144915,142909,143531,0
747,50000,2,2,1,34,0,0,0,0,0,0,10821,11877,13656,14949,0
9715,10000,2,1,2,24,2,0,0,2,2,2,6524,7559,9564,9264,0
23622,210000,2,3,1,44,-2,-2,-2,-2,-2,-2,11771,13462,17706,0,1
7062,30000,2,2,2,29,1,2,0,0,0,2,16493,15545,16557,16857,1
12195,40000,1,1,2,25,-1,-1,-1,0,-1,0,1946,17810,2872,396,1
11437,200000,2,2,1,43,2,2,2,2,-1,-1,150,150,150,150,1
796,100000,2,2,1,30,0,0,0,0,0,0,97062,74352,75004,76705,0
15653,290000,2,2,2,41,0,0,0,0,0,0,268498,272517,275748,277300,0
5613,100000,2,1,1,38,-1,-1,-1,-1,-1,-1,1669,710,1824,1968,0
4023,250000,2,1,1,44,-2,-2,-2,-2,-2,-1,4976,5417,7948,1797,0
22711,360000,2,3,2,34,-2,-2,-2,-2,-2,-2,0,0,0,0,1
19600,290000,2,1,2,36,0,0,0,0,0,0,57721,57256,57094,55293,0
15176,90000,2,1,2,23,-1,-1,-1,0,0,0,5802,4657,10967,14644,0
11890,30000,2,2,2,22,-2,-2,-2,-2,-2,-2,0,0,0,0,0
5349,220000,1,1,2,28,2,0,0,2,2,2,205130,212060,225462,116915,1
10857,200000,2,3,2,31,-1,-1,0,0,0,2,2126,99787,194779,194179,0
10210,20000,2,2,2,46,1,2,2,0,0,0,15481,16537,15979,16410,0
146,50000,1,1,2,28,0,0,0,0,0,3,4999,5913,7315,9195,0
11762,150000,1,2,1,35,0,0,0,0,0,0,125063,118843,137751,141330,0
7786,100000,1,3,3,48,2,-1,0,0,0,0,10514,8408,5250,9360,1
9941,160000,1,1,1,51,0,0,0,2,2,2,1380,1481,2623,2457,1
15228,300000,2,2,2,28,0,0,0,0,0,0,25193,34242,35228,12512,0
5184,100000,1,2,1,40,0,0,0,-1,-1,-1,99958,76554,58610,9779,0
15298,320000,2,2,2,42,-1,-1,-1,-1,-1,0,2920,2610,9433,2490,0
4187,180000,1,3,2,46,0,0,0,0,0,0,109114,71952,16765,14611,0
19900,410000,2,2,1,41,2,0,0,0,0,0,348559,354506,363666,369776,1
8134,400000,2,2,1,33,0,0,-2,-2,-2,-2,9940,0,11451,101,0
22753,200000,2,2,2,34,0,0,0,-1,-1,-1,205362,177755,3455,1078,0
21366,20000,1,2,2,54,0,0,0,0,0,0,37720,12266,8999,8810,0
22025,60000,2,1,2,27,1,-1,-1,-1,0,0,0,3947,5691,21001,0
2676,20000,1,2,1,60,-1,-1,2,0,0,0,8570,10651,9944,10142,0
17351,130000,2,3,2,45,0,0,0,0,0,0,38222,37939,37705,37391,0
11060,320000,1,2,2,32,1,2,2,2,2,2,114180,115491,109226,111673,0
19937,240000,2,1,2,36,0,0,2,0,0,2,176035,196664,192140,194357,0
1574,50000,1,1,2,24,0,0,0,0,0,0,50716,50606,33265,29300,1
4967,50000,1,3,1,45,0,0,0,0,0,0,45982,41372,18059,18020,0
3327,80000,2,2,2,45,0,0,-2,-2,-2,-2,83150,-8000,0,0,0
4132,230000,2,5,1,29,0,0,0,0,0,0,123436,127873,129832,133273,0
12318,220000,1,1,2,30,0,0,0,0,0,0,87604,89687,90889,91892,0
23767,200000,2,1,1,49,-1,-1,-1,-1,-2,-2,413,0,103,0,0
21543,80000,2,2,2,24,0,0,0,0,0,0,17220,14844,12718,8808,0
12269,110000,2,2,2,25,2,0,0,0,0,0,109924,111805,108207,75808,1
19235,150000,2,1,2,37,1,-2,-1,-1,-1,-2,0,0,689,2943,0
4871,260000,2,1,2,29,-1,-1,-1,-1,-1,-1,3735,-8,4865,507,1
3382,400000,2,2,2,38,0,0,0,0,-1,-1,2988,3983,3417,3267,0
15568,500000,1,1,2,39,0,0,0,0,0,0,297309,290425,286959,278420,0
7726,210000,1,2,1,41,1,2,0,0,0,0,149343,145319,86335,69670,0
9551,80000,1,2,2,30,2,2,2,2,2,2,73113,74639,75408,76618,0
23448,450000,2,3,1,36,-2,-2,-2,-2,-2,-2,0,0,0,0,0
2716,50000,2,2,1,31,1,2,0,0,0,0,34644,33669,19124,18117,0
4082,400000,2,1,2,28,-1,-1,-1,0,-1,-1,3299,6930,2375,1211,0
20106,200000,2,1,2,30,1,-1,2,-1,0,0,0,1186,1024,990,0
15222,150000,2,2,1,32,0,0,0,0,0,-1,17594,14850,15919,10177,0
17253,150000,2,3,1,39,2,2,2,0,0,0,151664,153994,147038,122498,0
11619,180000,2,2,2,33,1,-2,-2,-2,-2,-2,5931,2294,900,0,0
5715,310000,2,1,2,27,1,-1,-1,-2,-1,-1,0,113,0,0,1
11526,420000,1,2,1,41,-1,-1,-1,-1,-1,-1,16657,2578,523,1855,0
652,240000,2,2,2,26,0,0,-1,-1,-1,-1,14348,7500,7816,7500,0
9901,20000,2,2,1,39,1,2,0,0,0,0,19565,18968,19612,16213,0
13478,500000,1,1,1,42,-2,-2,-2,-2,-1,0,38525,6281,12855,18041,1
11790,310000,1,1,1,39,-1,-1,-2,-1,-1,2,360,0,91059,155,0
22921,250000,2,2,2,27,0,0,0,-1,0,0,4883,3090,1404,5208,0
4357,170000,2,2,1,34,0,0,0,0,0,0,166851,107434,99487,49017,0
14437,50000,2,3,1,50,0,0,0,0,0,0,48173,28233,28610,28808,0
17334,310000,2,2,1,29,0,0,0,0,0,0,26597,27141,25567,21794,0
15972,260000,2,3,1,44,0,0,0,0,0,0,148803,137561,130539,112300,0
3040,170000,1,1,2,39,0,0,0,0,0,0,171160,187853,171095,137986,0
6319,20000,1,2,2,27,2,0,0,0,0,2,13747,15020,16059,16081,1
14970,180000,2,1,2,31,-1,-1,-1,-1,0,0,4582,1359,316,3072,1
21656,260000,2,2,2,27,-2,-2,-2,-2,-2,-2,895,0,0,0,0
5121,150000,1,2,2,37,-1,0,0,0,0,0,69012,63265,64131,64942,0
4340,330000,1,1,1,57,-1,-1,-1,-1,-2,-1,3166,-206,3429,0,0
18350,50000,2,3,2,23,-1,-1,-1,-1,0,0,3237,5365,8263,14054,1
6125,360000,1,1,2,32,-2,-2,-2,-2,-2,-2,0,0,0,0,0
20737,20000,1,1,2,22,1,2,0,0,0,0,10591,10277,11304,12311,0
10691,300000,1,2,1,35,1,2,0,0,0,0,240394,239798,242518,224580,0
8693,50000,2,2,1,50,0,0,0,0,0,0,50658,48999,49388,48853,0
8507,150000,2,3,1,52,-1,-1,-1,-1,-1,-1,170,905,1203,2064,0
20256,80000,2,3,2,55,2,0,0,0,0,0,76414,78009,78616,49662,0
23511,50000,2,1,2,32,0,0,0,0,0,0,5458,5175,12950,11188,0
23144,100000,2,2,1,32,0,0,0,0,0,0,98908,60868,60652,58338,0
20167,150000,2,2,1,34,0,0,0,0,0,0,150294,147979,147235,147997,0
7883,240000,1,2,2,33,-1,-1,-1,0,-1,-1,1863,15172,8930,7324,1
14752,20000,2,1,1,41,1,3,2,0,0,-1,6249,5965,2417,1616,0
77,50000,1,3,2,25,-1,0,0,0,0,0,42838,37225,36087,9636,0
11943,50000,2,3,1,50,1,2,2,-2,-2,-2,4446,4166,0,0,0
8458,400000,1,2,1,39,0,0,0,0,0,0,399099,272898,202937,169138,0
17229,240000,2,2,2,30,0,0,0,0,0,0,89009,71169,67528,64238,0
17530,80000,2,3,0,41,0,0,0,0,0,0,69964,52041,39864,38934,0
20935,360000,1,1,1,42,0,-1,-1,-1,-1,-1,30860,20180,21908,1780,0
23150,280000,2,2,2,37,-1,-1,-1,-1,-1,-1,1876,2716,1876,1876,0
15229,130000,2,2,1,29,1,2,2,2,2,2,85342,88063,89895,87577,0
5671,340000,2,2,1,40,-2,-2,-2,-2,-2,-2,0,0,0,0,0
4805,50000,1,2,1,38,0,0,0,0,0,0,22619,19055,20161,20553,0
12213,100000,2,3,1,45,-1,-1,-1,-1,-1,-1,1480,916,1238,916,0
19350,50000,2,2,2,41,0,0,0,0,0,0,39859,38781,26823,26799,0
14533,180000,2,2,1,43,-1,-1,-1,-1,-1,0,7823,9549,1968,1800,0
20258,500000,2,1,1,54,-1,-1,-1,-1,0,0,6259,2937,10410,30016,1
20135,130000,2,2,1,37,0,0,0,0,0,0,33346,37902,42496,45954,0
14745,140000,2,2,2,26,0,0,0,0,0,0,54868,56983,59152,67288,0
20078,340000,2,1,2,34,-1,-1,-1,0,0,0,1780,28620,66633,182856,0
11876,350000,1,2,2,29,0,0,0,0,0,0,36151,37624,38568,39569,0
12620,30000,2,2,1,41,2,2,0,0,0,-1,25594,21485,22320,23933,1
19693,50000,2,3,1,37,-1,2,0,0,0,0,2564,2378,4167,5438,0
15609,430000,2,1,2,27,-2,-2,-2,-2,-2,-2,389,389,389,383,0
21610,60000,2,2,2,24,0,0,0,0,0,0,28277,27295,27403,23837,1
3859,200000,1,2,1,36,1,-2,-1,-1,-1,-1,-1,-1,296,299,0
5912,30000,2,2,2,24,0,0,2,0,0,0,25111,27558,26552,27703,0
21291,430000,1,1,1,51,0,-1,-1,-1,0,-1,4704,9714,13247,27555,0
13820,20000,1,3,2,23,0,0,0,-1,-1,-1,2331,3544,3064,1587,1
18563,90000,2,2,2,25,0,0,0,0,0,0,67004,65533,67475,69136,0
23441,700000,2,2,2,34,-2,-2,-2,-2,-2,-2,1878,4343,804,778,0
17249,20000,2,2,1,38,3,4,3,2,2,2,18666,18087,17517,16930,1
5508,100000,2,2,2,36,0,0,0,0,0,0,87656,90341,92244,93316,0
9983,30000,2,2,1,54,-1,-1,-1,-1,-1,-1,3334,3366,890,2662,0
1635,170000,2,2,1,50,0,0,0,0,0,0,177956,176155,171665,65479,0
212,210000,2,1,1,38,1,-2,-1,0,-1,-1,0,0,250,123,1
10056,240000,2,1,2,35,0,0,0,0,0,0,18336,19648,11138,11481,0
19129,50000,2,3,1,45,0,0,0,0,0,0,49212,42376,20009,20877,0
7477,30000,2,2,1,42,0,0,0,0,0,0,9801,10535,11552,11933,1
10120,90000,2,2,2,26,0,0,0,0,2,2,70206,71353,72707,74101,0
9269,50000,2,2,2,22,0,-1,-1,0,0,0,1470,627,14596,19323,0
7201,80000,1,1,1,39,0,0,0,2,0,0,61708,65080,68835,41462,0
10118,220000,2,1,2,29,1,-1,-1,-1,-1,-1,0,3003,2646,1125,0
18996,20000,2,2,1,30,0,0,0,0,0,0,16754,17763,18854,19972,0
22914,140000,2,3,1,33,-1,-1,-1,-1,-1,-1,1247,1654,840,2153,0
8797,230000,2,1,2,28,0,0,0,0,0,0,51545,42151,44532,42517,1
9915,220000,2,5,1,37,2,2,2,0,0,0,189976,189665,171669,167294,1
3592,220000,1,1,2,31,-2,-2,-2,-2,-2,-2,4935,3796,5227,2291,0
3306,80000,1,3,2,32,0,0,0,0,0,0,78887,69433,48198,49182,0
7976,200000,2,3,2,33,-2,-2,-2,-2,-2,-2,0,0,0,0,0
6693,20000,1,2,2,26,1,-1,-1,0,0,0,0,132,10067,10144,0
17985,100000,1,3,2,32,0,0,0,0,-1,-1,54483,45433,40870,10726,0
9310,380000,1,2,1,38,0,0,0,0,0,0,88112,91640,93480,95256,0
11472,20000,2,2,2,23,2,0,0,0,0,0,16235,17857,18862,18931,1
20950,10000,1,2,2,31,-1,-1,-1,-1,-1,-2,390,390,0,780,0
3804,80000,1,3,1,59,1,2,0,0,-1,-1,21723,21097,22140,18349,0
299,280000,2,1,1,36,0,0,0,0,0,0,58983,60788,63225,29701,0
20579,100000,1,2,1,29,0,0,0,0,0,0,66195,62771,63533,57079,0
20568,290000,1,2,1,30,-1,-1,-1,0,0,0,8452,7718,237648,236463,0
1083,60000,2,1,2,30,2,2,2,2,2,2,34735,33895,36530,37133,0
789,80000,1,2,2,29,0,0,0,0,0,0,11894,12287,12407,14360,0
6373,20000,1,2,2,33,0,0,2,0,0,0,18271,19857,19090,18500,0
2736,140000,2,1,1,37,0,0,0,0,0,0,135134,139178,139900,109665,0
3862,170000,2,2,1,39,0,0,0,2,0,0,114007,117677,124636,121232,1
21353,290000,1,3,1,55,0,0,0,0,0,0,21372,25278,29127,32901,0
2860,190000,2,2,2,28,1,-2,-2,-2,-2,-2,0,0,0,0,0
11869,70000,2,2,1,37,1,2,-1,0,0,2,7204,5326,5954,1069,0
22737,200000,2,3,1,34,0,0,0,0,0,0,198482,182115,154994,153386,0
18122,240000,1,1,2,38,0,0,0,0,-1,2,6865,2519,6646,-1776,0
6365,30000,2,3,1,59,0,0,0,0,0,0,28170,32597,32289,31276,0
21648,70000,2,2,2,25,2,2,2,2,2,2,67588,68983,70691,71692,1
20040,420000,2,2,1,40,-1,0,0,0,2,0,101873,99516,99873,100361,0
